waypoint1	waypoint2	distance_m	duration_s
Wright Brothers National Memorial Visitor Center, Manteo, NC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1641490	55734
Terrace Hill, Grand Avenue, Des Moines, IA	The Alamo, Alamo Plaza, San Antonio, TX	1618550	51628
Grand Canyon National Park, Arizona	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	2861598	90902
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Mount Vernon, Fairfax County, Virginia	571779	21258
Acadia National Park, Maine	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2126147	72266
Toltec Mounds, Scott, AR	Liberty Bell, 6th Street, Philadelphia, PA	1850866	60942
Terrace Hill, Grand Avenue, Des Moines, IA	Acadia National Park, Maine	2529755	84810
Carlsbad Caverns National Park, Carlsbad, NM	The Alamo, Alamo Plaza, San Antonio, TX	758015	26454
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Maryland State House, 100 State Cir, Annapolis, MD 21401	2265577	74219
Columbia River Gorge National Scenic Area, Oregon	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1808374	62044
Hoover Dam, NV	Hanford Site, Benton County, WA	1545185	52529
Shelburne Farms, Harbor Road, Shelburne, VT	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2421559	80428
Shelburne Farms, Harbor Road, Shelburne, VT	Statue of Liberty, Liberty Island, NYC, NY	477387	18885
Glacier National Park, West Glacier, MT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3061009	103552
Fort Sumter National Monument, Sullivan's Island, SC	Statue of Liberty, Liberty Island, NYC, NY	1222041	40879
Wright Brothers National Memorial Visitor Center, Manteo, NC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3890985	126581
Terrace Hill, Grand Avenue, Des Moines, IA	Graceland, Elvis Presley Boulevard, Memphis, TN	1008442	33574
Acadia National Park, Maine	Bryce Canyon National Park, Hwy 63, Bryce, UT	4509036	148367
Olympia Entertainment, Woodward Avenue, Detroit, MI	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1220596	42300
